cmabbreviation,pollutant,locale,Effective Date,existingmeasureabbr,neiexistingdevcode,minemissions,maxemissions,controlefficiency,costyear,costperton,ruleeff,rulepen,equationtype,caprecfactor,discountrate,capannratio,incrementalcpt,mincapacity,maxcapacity,details,refyrcostperton
"NCLPTGMCN","NOX","",,"",0,365,,5,2002,5000,100,100,"cpton",0.14,,4.5,,,,"Applied to large source types",1505.29797
"NCLPTGMCN","NOX","",,"",0,0,365,5,2002,5000,100,100,"cpton",0.14,,4.5,,,,"Applied to small source types",1505.29797
"NCUPHGMPD","NOX","",,"",0,365,,5,2002,5000,100,100,"cpton",0.14,,4.5,,,,"Applied to large source types",1297.11841
"NCUPHGMPD","NOX","",,"",0,0,365,5,2002,5000,100,100,"cpton",0.14,,4.5,,,,"Applied to small source types",1297.11841
"NDOXYFGMG","NOX","",,"",0,,,85,1999,4277,100,100,"cpton",,,,,,,"",5712.05078
"NELBOGMCN","NOX","",,"",0,365,,10,1990,7150,100,100,"cpton",0.14,,,,,,"Applied to large source types",11449.873
"NELBOGMCN","NOX","",,"",0,0,365,10,1990,7150,100,100,"cpton",0.14,,,,,,"Applied to small source types",11449.873
"NELBOGMFT","NOX","",,"",0,365,,10,1990,2320,100,100,"cpton",0.14,,,,,,"Applied to large source types",3715.20361
"NELBOGMFT","NOX","",,"",0,0,365,10,1990,2320,100,100,"cpton",0.14,,,,,,"Applied to small source types",3715.20361
"NELBOGMPD","NOX","",,"",0,365,,10,1990,8760,100,100,"cpton",0.14,,,,,,"Applied to large source types",14028.0957
"NELBOGMPD","NOX","",,"",0,0,365,10,1990,2320,100,100,"cpton",0.14,,,8760,,,"Applied to small source types",3715.20361
"NLNBFAPFD","NOX","",,"",0,0,365,60,1990,2560,100,100,"cpton",0.14,,5.9,2470,,,"Applied to small source types",4099.53516
"NLNBFAPFD","NOX","",,"",0,365,,60,1990,590,100,100,"cpton",0.14,,7.5,280,,,"Applied to large source types",944.814697
"NLNBFFRNG","NOX","",,"",0,0,365,60,1990,2560,100,100,"cpton",0.14,,5.9,2470,,,"Applied to small source types",4099.53516
