CMAbbreviation,Name,Category,Units,Data_Type,DB_FieldName,Value
"NSCRSGTNG","ADMIN_PCT","No category","%","double precision","ADMIN_PCT","0"
"NSCRSGTNG","CE_TEXT","No category","","text","CE_TEXT","95% from uncontrolled"
"NSCRSGTNG","CHEM_PCT","No category","%","double precision","CHEM_PCT","2.91"
"NSCRSGTNG","COST_BASIS","No category","","text","COST_BASIS","Sources are distinguished by NOx emission levels (Pechan, 1998).

Small source = emission levels less than 1 ton per ozone season day

Costs for stationary source NOx control are based on an analysis of EPA's NOx State Implementation Plan (SIP) Call (Pechan, 1998).  From this analysis, default cost per ton values are assigned.  A discount rate of 7 percent and a capacity factor of 65 percent are assumed, along with an equipment life of 15 years (EPA, 1993).

In general, the incremental default cost is used for sources where there are existing controls (RACT baseline), with efficiencies less than or equal to 76% (Pechan, 2001).

O&M Cost Components:  The O&M cost breakdown is estimated using the information for an example small turbine in Table 6-9 of the ACT document for stationary gas turbines.  The model plant is a 26.8 megawatt MS5001P turbine.  Continuous operation 8,000 hours per year is used to estimate operating costs.

Electricity cost:  0.06 $/kW-hr
Natural gas cost:  $4.13/MMBtu"
"NSCRSGTNG","CPTON_H","No category","$/ton","integer","CPTON_H","8960"
"NSCRSGTNG","CPTON_L","No category","$/ton","integer","CPTON_L","2010"
"NSCRSGTNG","CPTON_TEXT","No category","","text","CPTON_TEXT","The cost effectiveness values used in AirControlNET are $2,010 per ton NOx reduced from uncontrolled and $8,960 per ton NOx reduced from RACT baseline (1990$)."
"NSCRSGTNG","CTRL_EFF_T","No category","%","double precision","CTRL_EFF_T","95"
"NSCRSGTNG","ELEC_PCT","No category","%","double precision","ELEC_PCT","0"
"NSCRSGTNG","ELEC_RT","No category","$/kWh","double precision","ELEC_RT","0.06"
"NSCRSGTNG","FUEL_PCT","No category","%","double precision","FUEL_PCT","0"
"NSCRSGTNG","HG_CE_T","No category","%","character varying(50)","HG_CE_T","95"
"NSCRSGTNG","INSRNC_PCT","No category","%","double precision","INSRNC_PCT","0"
"NSCRSGTNG","MNTLBR_PCT","No category","%","double precision","MNTLBR_PCT","0.46"
"NSCRSGTNG","MNTLBR_RT","No category","$/hr","double precision","MNTLBR_RT","31.2"
"NSCRSGTNG","MNTMTL_PCT","No category","%","double precision","MNTMTL_PCT","15.4"
