#TYPES=int4(10)|varchar(128)|varchar(1)|varchar(1)|timestamp(29)|varchar(128)
"CONTROL_DEVICE_CODE","CONTROL_DEVICE_DESC","VALID_V20","VALID_V30","LAST MOD DATE","COMMENT"
"000","UNCONTROLLED","Y","Y","",""
"001","WET SCRUBBER - HIGH EFFICIENCY","Y","Y","",""
"002","WET SCRUBBER - MEDIUM EFFICIENCY","Y","Y","",""
"003","WET SCRUBBER - LOW EFFICIENCY","Y","Y","",""
"004","GRAVITY COLLECTOR - HIGH EFFICIENCY","Y","Y","",""
"005","GRAVITY COLLECTOR - MEDIUM EFFICIENCY","Y","Y","",""
"006","GRAVITY COLLECTOR - LOW EFFICIENCY","Y","Y","",""
"007","CENTRIFUGAL COLLECTOR (CYCLONE) - HIGH EFFICIENCY","Y","Y","",""
"008","CENTRIFUGAL COLLECTOR (CYCLONE) - MEDIUM EFFICIENCY","Y","Y","",""
"009","CENTRIFUGAL COLLECTOR (CYCLONE) - LOW EFFICIENCY","Y","Y","",""
"010","ELECTROSTATIC PRECIPITATOR - HIGH EFFICIENCY","Y","Y","",""
"011","ELECTROSTATIC PRECIPITATOR - MEDIUM EFFICIENCY","Y","Y","",""
"012","ELECTROSTATIC PRECIPITATOR - LOW EFFICIENCY","Y","Y","",""
"013","GAS SCRUBBER (GENERAL, NOT CLASSIFIED)","Y","Y","",""
"014","MIST ELIMINATOR - HIGH VELOCITY, I.E. V>250 FT/MIN","Y","Y","",""
"015","MIST ELIMINATOR - LOW VELOCITY, I.E. V<250 FT/MIN","Y","Y","",""
"016","FABRIC FILTER - HIGH TEMPERATURE, I.E. T>250F","Y","Y","",""
"017","FABRIC FILTER - MEDIUM TEMPERATURE, I.E. 180F<T<250F","Y","Y","",""
"018","FABRIC FILTER - LOW TEMPERATURE, I.E. T<180F","Y","Y","",""
"019","CATALYTIC AFTERBURNER","Y","Y","",""
"020","CATALYTIC AFTERBURNER WITH HEAT EXCHANGER","Y","Y","",""
"021","DIRECT FLAME AFTERBURNER","Y","Y","",""
"022","DIRECT FLAME AFTERBURNER WITH HEAT EXCHANGER","Y","Y","",""
"023","FLARING","Y","Y","",""
"024","MODIFIED FURNACE OR BURNER DESIGN","Y","Y","",""
"025","STAGED COMBUSTION","Y","Y","",""
"026","FLUE GAS RECIRCULATION","Y","Y","",""
"027","REDUCED COMBUSTION - AIR PREHEATING","Y","Y","",""
"028","STEAM OR WATER INJECTION","Y","Y","",""
"029","LOW EXCESS AIR FIRING","Y","Y","",""
"030","USE OF FUEL WITH LOW NITROGEN CONTENT","Y","Y","",""
"031","AIR INJECTION","Y","Y","",""
"032","AMMONIA INJECTION","Y","Y","",""
"033","CONTROL OF % O2 IN COMBUSTION AIR (OFF STOICHIOMETRIC FIRING)","Y","Y","",""
"034","WELLMAN-LORD/SODIUM SULFITE SCRUBBING","Y","Y","",""
"035","MAGNESIUM OXIDE SCRUBBING","Y","Y","",""
"036","DUAL ALKALI SCRUBBING","Y","Y","",""
"037","CITRATE PROCESS SCRUBBING","Y","Y","",""
"038","AMMONIA SCRUBBING","Y","Y","",""
"039","CATALYTIC OXIDATION - FLUE GAS DESULFURIZATION","Y","Y","",""
"040","ALKALIZED ALUMINA","Y","Y","",""
"041","DRY LIMESTONE INJECTION","Y","Y","",""
"042","WET LIMESTONE INJECTION","Y","Y","",""
"043","SULFURIC ACID PLANT - CONTACT PROCESS","Y","Y","",""
"044","SULFURIC ACID PLANT - DOUBLE CONTACT PROCESS","Y","Y","",""
"045","SULFUR PLANT","Y","Y","",""
"046","PROCESS CHANGE","Y","Y","",""
"047","VAPOR RECOVERY SYS (INCL. CONDENSERS, HOODING, OTHER ENCLOSURES)","Y","Y","",""
"048","ACTIVATED CARBON ADSORPTION","Y","Y","",""
"049","LIQUID FILTRATION SYSTEM","Y","Y","",""
"050","PACKED-GAS ABSORPTION COLUMN","Y","Y","",""
"051","TRAY-TYPE GAS ABSORPTION COLUMN","Y","Y","",""
"052","SPRAY TOWER","Y","Y","",""
"053","VENTURI SCRUBBER","Y","Y","",""
"054","PROCESS ENCLOSED","Y","Y","",""
"055","IMPINGEMENT PLATE SCRUBBER","Y","Y","",""
"056","DYNAMIC SEPARATOR (DRY)","Y","Y","",""
"057","DYNAMIC SEPARATOR (WET)","Y","Y","",""
"058","MAT OR PANEL FILTER","Y","Y","",""
"059","METAL FABRIC FILTER SCREEN (COTTON GINS)","Y","Y","",""
"060","PROCESS GAS RECOVERY","Y","Y","",""
"061","DUST SUPPRESSION BY WATER SPRAYS","Y","Y","",""
